Country,Life Expectancy (%),Literacy Rate (%)
Afghanistan,50.5,28.1
Albania,78.0,96.8
Algeria,76.4,80.2
American Samoa,74.9,97.0
Andorra,82.7,100.0
Angola,55.3,71.1
Antigua and Barbuda,76.1,99.0
Argentina,77.5,97.9
Armenia,74.1,99.6
Aruba,76.4,96.8
Australia,82.1,96.0
Austria,80.2,98.0
Azerbaijan,71.9,99.8
"Bahamas, The",71.9,95.6
Bahrain,78.6,94.6
Bangladesh,70.7,57.7
Barbados,75.0,99.7
Belarus,72.2,99.6
Belgium,79.9,99.0
Belize,68.5,79.7
Benin,61.1,42.4
Bermuda,81.0,98.0
Bhutan,69.0,64.9
Bolivia,68.6,95.7
Bosnia and Herzegovina,76.3,99.4
Botswana,54.1,88.5
Brazil,73.3,95.8
British Virgin Islands,78.3,97.8
Brunei,76.8,95.4
Bulgaria,74.3,98.4
Burkina Faso,54.8,36.0
Burma,65.9,93.1
Burundi,59.6,85.6
Cambodia,63.8,77.2
Cameroon,57.4,75.0
Canada,81.7,99.0
Cayman Islands,81.0,98.9
Central African Republic,51.4,56.6
Chad,49.4,35.4
Chile,78.4,98.6
China,75.2,95.1
Colombia,75.3,94.7
Comoros,63.5,75.5
"Congo, Democratic Republic of the",56.5,66.8
"Congo, Republic of the",58.5,83.8
Cook Islands,75.4,95.0
Costa Rica,78.2,97.8
Croatia,76.4,99.2
Cuba,78.2,99.8
Cyprus,78.3,98.7
Czech Republic,78.3,99.0
Denmark,79.1,99.0
Djibouti,62.4,70.0
Dominica,76.6,94.0
Dominican Republic,77.8,91.8
Ecuador,76.4,94.5
Egypt,73.5,73.8
El Salvador,74.2,88.0
Equatorial Guinea,63.5,95.3
Eritrea,63.5,80.0
Estonia,74.1,99.8
Ethiopia,60.8,49.1
Fiji,72.2,93.7
Finland,79.7,100.0
France,81.7,99.0
French Polynesia,76.8,98.0
Gabon,52.1,88.4
"Gambia, The",64.4,50.0
Gaza Strip,74.6,96.4
Georgia,75.7,99.8
Germany,80.4,99.0
Ghana,65.8,76.6
Greece,80.3,98.9
Greenland,71.8,100.0
Grenada,73.8,96.0
Guam,78.8,99.0
Guatemala,71.7,83.4
Guinea,59.6,41.0
Guinea-Bissau,49.9,59.9
Guyana,67.8,91.8
Haiti,63.2,52.9
Honduras,70.9,88.5
Hong Kong,82.8,93.5
Hungary,75.5,99.0
Iceland,81.2,99.0
India,67.8,74.4
Indonesia,72.2,92.8
Iran,70.9,86.8
Iraq,71.4,80.2
Ireland,80.6,99.0
Israel,81.3,97.8
Italy,82.0,99.0
Jamaica,73.5,88.7
Japan,84.5,99.0
Jordan,74.1,93.4
Kazakhstan,70.2,99.5
Kenya,63.5,87.4
"Korea, North",69.8,100.0
"Korea, South",79.8,97.9
Kuwait,77.6,94.0
